,X_sentences,Y,Y_decision,Y_confidence
3370,"What I found out when I started to attend a protestant bible study in college was that I knew a lot more of the ""integrative message"" of Scripture than most of my bible memorizing protestant friends.

I may not have been able to impress myself or others with verse/verbatim.

But I was less prone to confusion when one protestant friend tried to one up another protestant friend with a proof text.

Instead I fell back on my faith and on my constant exposure to Scripture through the Holy Mass, and was able to offer a more integrative scriptural answer to one of the points of the Bible study, even though I couldn't quote chapter/verse.

Instead I would say, as an example...""doesn't it also say somewhere in the NT that we should love God with all our heart, soul, mind, and strength""?

It was only later on that I took up regular personal Scripture reading, and that too has been a huge help.  5 minutes a day.    

5 minutes a day, one can go through slowly the whole of the NT each year.",0,-4.518021070548287,4.518021070548287
3635,"Volunteering with groups that help people, such as food banks, soup kitchens, youth outreach, but mostly in how we live our daily lives. The biggest impact will be by people who actually live in the community and personally interact with their neighbors. Not sure how this can be done on a ""church"" level, but perhaps the church can promote the interaction. It has to be on a basic level, becoming friends with people and getting to know them.",0,-4.310060798798952,4.310060798798952
1606,"""Improving work-force participation rates among women with young children has been highlighted as a focus of the government in recent months.""

Once again the emphasis is on business to the detriment of workers and taxpayers. An increase in the work force means more unemployment and thus more welfare costs, lower salaries  through competition for jobs.

What is even more unfortunate is the work of Wilkinson and Pickett is ignored. They showed in the excellent researched The Spirit Level, that an increase in GDP/person in developed countries did not affect living conditions.  For example Japan is a bucket case economically but tied for top place as the best place to live. Further the US, tops in wealth and bottom as a place to live. 

The significant factor was income inequality(top 20% income divided by bottom 20%). The lower the inequality, the better the living conditions. That correlation held over 23 countries. No explanation why. But the data is solid. 
That should be checked out.",0,-4.1719114112790825,4.1719114112790825
3622,Wonder what her Christmas message sounds like. Did she record it before the cold?,0,-4.161704497579326,4.161704497579326
3486,Thanks for confirming my thesis!,0,-4.122776913583168,4.122776913583168
1614,"Jesus prayed for unity (""that all may be one as you Father and I are one, that they be one as we are one"") is the last hours of His life. One should ask oneself in what ways might this unity be manifested, in the early days and now?  

-How has Our Father answered this prayer from His pleading Son?
-What have I done today to draw out unity among believers?
-What ways have I instead added to division, doubt, disunity?
-One should ask:  Did the Father deny His only Son this ardent prayer of His Son's?

Perhaps the ""Catechism"" is but one sign of unity.  Our Creed, Sacraments. Our dead formal language of Latin (which owing to its fixed state has a built in root of constancy  vs. classic language drift.

I don't expect you to understand these points of unity, but perhaps it will help others to pause a bit and to think about unity.

Unity in belief, unity in morality, unity in prayer, unity in forms of worhship, unity in the Sacraments, unity even in death (the commUNION of saints).",0,-4.07192874654549,4.07192874654549
1798,Thank you so much for this. I'll spread the word and share.,0,-4.054671146654134,4.054671146654134
3600,"What are the odds that,whatever happens in court, the delays will find ways of continuing?",0,-4.030576298428914,4.030576298428914
20,Shut the fuck up you stupid bitch,1,3.939308456366633,3.939308456366633
3824,"Yes!  I, too, wondered why they don't seem to be aware that the parents and grandparents were/are ignored.  The article pointed cited PEW(?) finding that 50% leave/left before or at age 18.  Ok.  If correct, that means an equal number leave/left after age 18.

Any reasonable, seasoned teacher knows that you should not call on, choose as teacher helper, or engage with the same 10% of kids all the time -- the kids of the parent volunteers.  How were priests raised?  Did none of them have parents who complained about people who only listened to ""yes"" men/women whether in families, at work, at school, or in the Church?",0,-3.9385343877063566,3.9385343877063566
